Text,Emotional,Framing,Decisive,Explanation,Rewrite,Emotional (R),Framing (R),Decisive (R),Article Link,Source,Source Reli,Source Bias
"After weeks of posturing that it was preparing to call a strike by August 31, the Philadelphia Federation of Teachers abruptly rammed through a contract Thursday night. The move was intended to prevent a walkout by 14,000 educators in the nation’s eighth-largest school district.",7,8,6,"Posturing and ""rammed through"" are highly charged verbs framing union leadership as deceptive and authoritarian. ""Us-vs-them"" is between union leadership and members.","The Philadelphia Federation of Teachers approved a contract on Thursday to avoid a strike by approximately 14,000 educators in the district.",1,1, ,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
"According to the union’s own figures, less than half of the membership participated in the rushed online vote. Only 4,000 ballots were cast in favor—barely one quarter of the total membership—yet the PFT declared the agreement ratified.",6,8,5,Rushed frames the vote as illegitimate. The statistics are presented to maximize the perception of a lack of mandate. Bias is against the union's process.,"According to union figures, less than half of members participated in the online vote, with about 4,000 voting in favor, after which the agreement was recorded as ratified.",1,2,1,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
This sham vote cannot be considered legitimate or binding by teachers. Philadelphia educators must organize themselves to override this sellout and prepare collective action independent of the union’s apparatus.,10,10,8,"Sham, ""sellout"" are extremely emotionally charged. Direct call to action frames the union apparatus as the enemy (""them"") versus the rank-and-file teachers (""us"").",Some teachers argue the vote should not be considered valid and are discussing whether to organize additional actions outside the union process.,2,3,2,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
"The agreement provides a 3 percent wage increase per year, a raise that does not keep pace with inflation in Philadelphia, which is already higher. At the same time, it introduces steep healthcare premium increases for new hires.",4,7,3,"Factual data is presented with a clear negative framing (""does not keep pace,"" ""steep increases""). Low emotional charge, high framing bias.","The agreement includes a 3 percent annual wage increase and higher healthcare premiums for new hires, and wage growth is below recent inflation estimates in Philadelphia.",2,3,1,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
"Paid interview time for kindergarten teachers has been eliminated under the contract. Even parental leave provisions will not take effect until next year, underscoring the regressive nature of the deal.",5,8,3,"Eliminated and ""regressive"" are negatively loaded terms. The framing is exclusively on concessions, biasing the reader against the deal.","The contract removes paid interview time for kindergarten teachers, and parental leave provisions will begin next year.",2,2,1,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
"Over the summer, PFT members had voted by 94 percent to authorize a strike. The union even organized “strike ready” events with sign-making and rallies to project the image of preparing for confrontation.",3,7,4,"The statistic is powerful. ""Project the image"" implies the union's actions were for show rather than genuine, introducing a framing bias against the leadership's intentions.","Earlier in the summer, PFT members voted by 94 percent to authorize a strike, and the union held events to prepare materials and activities related to potential strike action.",1,2,1,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
"The instant the PFT suddenly announced the tentative agreement, its tone changed by 180 degrees. From threatening to strike, the leadership shifted to celebrating a deal that promised “three years of labor peace.”",6,8,6,"Suddenly, ""180 degrees,"" and the quotes around ""three years of labor peace"" frame the union's shift as abrupt and cynical, creating a ""us (members) vs them (leadership)"" dynamic.","After the tentative agreement was announced, the union shifted from preparing for a strike to supporting the proposed contract, which it said would provide three years of labor stability.",1,2,1,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
"Philadelphia schools face a $300 million deficit, while the Southeastern Pennsylvania Transportation Authority is slashing services under “doomsday” cuts. These austerity measures mirror crises unfolding in every major urban district across the country.",7,7,4,"Doomsday is emotionally charged. The framing presents a context of crisis, which biases the reader to see the union's actions as a betrayal in this context.","Philadelphia schools face a $300 million deficit, and the regional transportation authority is reducing services due to budget constraints, similar to conditions in other large districts.",1,2,1,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
PFT officials used intimidation and manipulation to present the contract as a fait accompli. Teachers reported being told that the union would not call a strike even if members rejected the deal.,9,9,8,"Intimidation, ""manipulation,"" ""fait accompli"" are highly charged accusations. This strongly frames union officials as the hostile ""them"" against the teachers.",Some teachers reported being told that a strike would not be called even if the contract was rejected.,1,2,1,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
The entire “strike ready” campaign was a maneuver to get in front of explosive rank-and-file anger. It functioned as a way to channel discontent back under bureaucratic control rather than unleash a genuine struggle.,8,9,7,"Maneuver, ""explosive anger,"" ""bureaucratic control"" frame the union as a manipulative entity managing rather than representing its members (""us"").",Some members believe the union’s strike-related activities were intended to manage internal dissatisfaction rather than pursue a strike.,2,3,2,https://www.wsws.org/en/articles/2025/08/30/phil-a30.html,World Socialist Web Site,28.26,-26.41
